index,event_id,minute,second,team_id,player_id,x,y,end_x,end_y,type_display_name,outcome_type_display_name,period_display_name,player_name,Position
1,3,0,0,Manchester City,77464,49.9,50,18.9,52.7,Pass,Successful,FirstHalf,Ilkay Gundogan,AM
2,4,0,6,Manchester City,121774,27.5,51.6,39.3,20.8,Pass,Successful,FirstHalf,Moraes Ederson ,GK
3,5,0,13,Manchester City,101374,47.8,40.6,45.5,78,Pass,Successful,FirstHalf,John Stones,DM
4,6,0,15,Manchester City,297390,45.5,78.6,58.2,81.5,Pass,Successful,FirstHalf,Manuel Akanji,LB
5,7,0,17,Manchester City,77464,56.4,85.2,35.4,96.6,Pass,Successful,FirstHalf,Ilkay Gundogan,AM
6,8,0,20,Manchester City,297390,34.3,95.4,34.1,58.7,Pass,Successful,FirstHalf,Manuel Akanji,LB
7,9,0,23,Manchester City,101374,29.9,57.9,9.8,45.2,Pass,Successful,FirstHalf,John Stones,DM
8,10,0,25,Manchester City,121774,9.8,45.2,18.8,3.7,Pass,Successful,FirstHalf,Moraes Ederson ,GK
9,3,0,28,Real Madrid,337782,78.2,94.8,,,Challenge,Unsuccessful,FirstHalf,Vinicius Junior,FWD
10,11,0,28,Manchester City,69778,21.8,5.2,,,TakeOn,Successful,FirstHalf,Kyle Walker,RB
11,12,0,30,Manchester City,69778,21,9.5,3.9,45.4,Pass,Successful,FirstHalf,Kyle Walker,RB
12,13,0,36,Manchester City,121774,8.6,53.6,21.5,57.8,Pass,Successful,FirstHalf,Moraes Ederson ,GK
13,28,5,29,Real Madrid,369109,13.4,86.1,,,Tackle,Successful,FirstHalf,Eduardo Camavinga,LB
14,29,5,31,Real Madrid,31772,11.4,96.4,,,BallRecovery,Successful,FirstHalf,Toni Kroos,CM
15,14,0,37,Manchester City,303139,21.5,57.8,7.2,57.8,Pass,Successful,FirstHalf,Hernandez Rodri,DM
16,15,0,43,Manchester City,121774,12.5,55.1,20.3,36.2,Pass,Successful,FirstHalf,Moraes Ederson ,GK
17,16,0,51,Manchester City,313171,29.5,48.1,30.6,39.8,Pass,Successful,FirstHalf,Ruben Dias,CB
18,17,0,55,Manchester City,101374,31.4,43.4,34.1,83.4,Pass,Successful,FirstHalf,John Stones,DM
19,18,0,58,Manchester City,297390,34.1,83.4,44.8,80.3,Pass,Successful,FirstHalf,Manuel Akanji,LB
20,19,0,59,Manchester City,303139,45,82.2,,,BallTouch,Unsuccessful,FirstHalf,Hernandez Rodri,DM
21,4,1,0,Real Madrid,344644,51.1,13.4,64.8,0,Pass,Unsuccessful,FirstHalf,Federico Valverde,MC
22,21,1,10,Manchester City,297390,35.1,100,30,67.5,Pass,Successful,FirstHalf,Manuel Akanji,LB
